UGT,UGA,UGE,UARP,AGT,AGA,AGE,AARP,RANDOM,subject,gn,ts
6.43151388889,5.57841666667,8.43356944444,7.67711111111,5.26922222222,4.16398611111,7.30973611111,7.307125,10.3419563889,nv-websocket-client,4,1.5
354.441088757,316.462526627,181.888852071,125.113195266,32.5525502959,88.1183313609,42.2598994083,70.2558402367,148.236853491,webbit,4,1.5
12.3467923497,20.1542131148,19.0867568306,20.268,6.9425136612,17.5188196721,10.1790819672,13.632863388,16.1908806557,protoparser,4,1.5
31.0281182796,30.748655914,28.8037526882,30.9392150538,26.9291397849,24.9575698925,26.2512258065,29.0441290323,38.0302253763,lanterna,4,1.5
54.1680071942,54.2826546763,38.6170359712,48.9748848921,53.6341151079,53.9584316547,42.4352446043,56.3265035971,64.1055523741,jackson-datatype-guava-v2,4,1.5
23.2424102564,19.0228717949,18.0552307692,20.7891923077,11.3821025641,11.484025641,11.0344871795,14.7515384615,21.2221446154,gson-fire-v2,4,1.5
1316.22900736,822.867390878,467.732062285,747.942301618,169.972430603,521.78687592,215.175193722,281.921298185,771.75137537,jackson-core,4,1.5
68.3972317073,27.857804878,19.3345487805,21.029902439,21.3372682927,16.5914390244,18.8723170732,21.4715365854,37.6239326829,DiskLruCache,4,1.5
136.673173913,134.297521739,170.949608696,302.962478261,108.25,143.683521739,117.923782609,227.129521739,196.66375913,JActor,4,1.5
1234.44128314,660.187984556,1128.49304376,813.728844273,227.455118404,364.951725869,346.677525097,364.31711583,882.823229472,joss,4,1.5
61.2082,28.7237333333,24.3886666667,54.9843333333,23.0233111111,22.4620666667,25.6617333333,52.9291333333,62.3052231111,restcountries,4,1.5
244.181806349,232.549044444,149.120838095,231.059520635,116.559885714,152.377939683,109.798936508,165.177885714,432.454856571,asterisk-java-v2,4,1.5
571.551738462,396.474496154,312.128488462,404.146073077,256.744769231,256.247842308,262.565376923,282.183842308,536.854016154,low-gc-membuffers,4,1.5
165.19468207,157.819439926,111.835092421,94.8492181146,88.3215064695,122.43974122,79.4517874307,103.127874307,125.805111091,raml-java-parser,4,1.5
