UGT,UGA,UGE,UARP,AGT,AGA,AGE,AARP,RANDOM,subject,gn,ts
10.2294027778,6.44154166667,9.29834722222,9.35398611111,6.19352777778,4.09701388889,6.19672222222,7.097875,10.3419563889,nv-websocket-client,4,1.5
360.35256213,257.886059172,83.1152544379,158.95187574,44.424852071,86.5544556213,47.0107455621,70.1752248521,148.236853491,webbit,4,1.5
12.2887595628,21.9010628415,16.4249125683,20.2291284153,7.02482513661,19.3378224044,12.0515382514,15.0312431694,16.1908806557,protoparser,4,1.5
30.4887741935,30.0506129032,30.437827957,30.875827957,26.4800967742,24.9383870968,26.9619677419,28.5259139785,38.0302253763,lanterna,4,1.5
54.1680071942,54.2826546763,43.0355683453,84.4054532374,53.564057554,53.8113021583,41.8895467626,71.1675179856,64.1055523741,jackson-datatype-guava-v2,4,1.5
24.2520512821,20.0405769231,17.0442307692,20.3448205128,11.4771923077,11.9409358974,10.7626410256,16.9978717949,21.2221446154,gson-fire-v2,4,1.5
1255.70695684,789.476590486,517.810619421,714.877725846,199.505748897,532.508448259,216.664177538,259.997188818,771.75137537,jackson-core,4,1.5
68.4989878049,28.113902439,27.0546585366,33.4605365854,20.8162804878,18.0080243902,18.6043170732,31.5766219512,37.6239326829,DiskLruCache,4,1.5
135.659478261,134.351608696,165.182130435,212.240956522,108.802434783,143.432086957,159.381478261,139.24873913,196.66375913,JActor,4,1.5
1313.00092793,808.855176319,1024.15958044,646.004195624,266.827105534,390.728301158,377.577733591,404.065473616,882.823229472,joss,4,1.5
65.4331111111,29.1861777778,47.6054222222,54.2868666667,23.1864444444,22.3961555556,22.8335555556,30.6816,62.3052231111,restcountries,4,1.5
315.344095238,233.227765079,262.438977778,287.395660317,133.045961905,156.459295238,106.537330159,362.917495238,432.454856571,asterisk-java-v2,4,1.5
581.915896154,396.408988462,290.682830769,679.231273077,252.905873077,273.6342,260.787892308,264.855042308,536.854016154,low-gc-membuffers,4,1.5
152.714249538,145.170349353,109.668968577,95.7658669131,87.9333253235,122.491720887,72.6124473198,92.9623548983,125.805111091,raml-java-parser,4,1.5
