UGT,UGA,UGE,UARP,AGT,AGA,AGE,AARP,RANDOM
0.109,0.109,0.01,0.01,0.01,0.01,0.01,0.01,0.08128
6.2,5.0,0.01,0.208,0.01,0.01,0.307,0.01,0.3777
0.01,0.208,0.109,0.109,0.01,0.01,0.01,0.01,0.08524
0.604,0.802,0.604,0.406,0.208,0.208,0.208,0.208,0.31108
3.5,1.1,1.3,0.307,0.109,0.109,0.802,0.703,0.68558
2.4,0.705,0.109,2.1,0.01,0.01,0.109,0.01,0.68302
1.501,1.501,0.406,0.208,0.01,0.01,0.01,0.01,0.11118
2.1,0.902,0.902,0.505,0.109,0.109,0.505,0.109,0.77952
2.2,1.7,1.1,1.004,1.1,0.605,1.7,0.911,1.32788
2.6,4.7,0.901,0.208,0.01,0.01,0.505,0.109,0.53984
0.406,0.406,0.406,0.208,0.01,0.01,0.01,0.01,0.4977
194.2,0.109,0.01,0.01,0.01,0.01,0.208,0.01,0.18628
0.505,0.505,0.506,0.307,0.109,0.109,0.703,0.307,0.39424
5.2,2.2,1.003,0.614,0.307,0.307,0.307,0.515,1.0693
