UGT,UGA,UGE,UARP,AGT,AGA,AGE,AARP,RANDOM
123.53548234,106.199914078,172.714123528,2090.54515578,2214.86148634,792.663303071,931.35837714,1503.33003216,1570.80249721
3150.27754814,2924.24840876,2600.75257848,5674.58530766,10792.5360697,4338.52208908,9485.33055366,6386.65480093,5897.15809302
32.3454545455,26.9883116883,29.9623376623,52.3207792208,41.4233766234,32.8876623377,41.0279220779,47.712987013,45.175012987
360.842286293,311.520669513,321.365076205,417.348349685,791.322692712,588.975292775,433.570626743,389.434443706,420.535955057
64.6945454545,60.4609090909,62.3972727273,87.9009090909,98.3809090909,66.9209090909,84.0154545455,91.7918181818,74.6490545455
2770.24333842,2791.62095815,2796.75707363,6268.04157456,7927.87743896,4623.02689091,4256.73638298,5754.19241405,5456.00338036
250.062886296,249.322958277,249.15773132,253.954733563,252.162711092,253.726897913,310.159582301,252.15440284,252.514227838
298.751542224,118.701808881,146.636679987,226.196051791,542.359557661,149.578769307,245.39736594,270.360720529,251.022269678
736.795928429,620.838154805,1470.02787528,4929.96419622,8135.55283965,2916.44355231,4436.3936186,4606.54947656,5277.12730005
240.397037192,224.644180741,223.489803097,246.130351527,287.836853882,233.091401532,243.570833405,252.782012071,243.442747587
32.6805414267,29.2365757,28.9833485267,48.2542826933,49.4334054867,38.5886786867,42.60322534,45.35213298,46.735681194
2563.0040327,1707.66561308,3075.65286104,3603.80893733,2223.82506812,1706.56190736,3729.27945504,3886.56365123,3803.78716839
16567.8696521,17592.3061318,17283.108995,22379.8168791,33136.8214276,18717.8453278,25486.7691715,22497.9466462,22398.5453754
33.2610695506,17.7191707503,23.9615181808,53.1981587652,86.7844700796,31.8279855263,47.8519758543,63.5133138772,59.0989154869
145.428947368,124.522932331,121.679699248,156.893233083,165.763533835,143.944360902,248.212781955,172.853383459,176.343458647
8691.40008219,3755.39135202,16223.2827641,30254.0581527,70774.4150884,24252.4368327,25438.5691004,33603.2706652,29827.3610804
17.0171718148,16.8354804198,16.415128642,18.1725092469,17.1584230617,17.3579908889,17.3553916543,19.1589831975,18.1057213286
229.514463891,398.062808924,200.018282502,3014.81402014,6200.6461559,1673.46763149,639.266454308,3104.75263918,3316.22055653
662.276701804,663.892848725,661.240269,670.852365618,664.561599471,665.045173667,663.665473598,666.110783265,666.758869273
797.729725429,969.324394817,1493.60731072,4692.49724204,11691.2612458,3586.00721503,5101.97493113,4761.99923047,4935.94856498
5703.98297584,5710.9922311,5565.62687394,7533.26950015,10568.7910116,6944.04248437,7843.48925588,8183.86920538,8032.40964637
7151.78394204,4227.77335691,6083.28072263,31971.0987524,51366.5352282,27178.1356631,25378.2446567,20335.3141954,26638.6241495
5222.45646259,3575.04557823,3583.03061224,5456.34081633,5361.08503401,3928.18571429,4291.59659864,5189.7585034,5415.25534694
514.264794501,597.705512253,542.426594067,3729.96265701,5491.83928266,1573.7039643,2225.33136507,3593.49194332,3479.29894387
120.891752577,71.3081001473,92.9795287187,108.700736377,136.759499264,83.7736377025,99.1026509573,96.8920471281,105.228197349
4455.69569414,4454.09682175,4454.06065871,4471.5343057,4459.14960875,4454.69561332,4461.50812366,4757.3848585,4607.24764629
12.2612282203,11.3640762627,11.1799295508,12.5183108983,12.4279746017,11.8058002966,11.7969353559,14.0503417542,13.4068978393
34383.9544228,21772.4395898,30293.2993003,73517.1822133,122726.482027,64238.5349344,79912.0644239,75203.9001,71732.7551763
12823.6925608,13005.545675,12498.891952,24124.1379057,37997.9377366,18121.9599356,22410.5543885,21330.5671434,21490.3804935
167.073605467,145.841427082,151.408978098,174.755294925,209.673484148,165.362259761,208.205503977,183.652460961,180.565469886
13770.3327282,12995.3860474,13347.3231142,26456.9880361,82723.0670489,32469.6553044,42571.3368402,36562.0090046,44026.6029321
2129.93296146,838.473833671,986.55801217,1401.82778905,3852.99553753,1146.36014199,1163.63529412,1064.82363083,1289.34816024
2062.2269085,928.635571197,1168.44266378,1565.69014618,2537.1338928,1025.62680022,1454.72874932,1592.71207363,1554.85297888
2.98819444444,2.8875,2.88694444444,3.63083333333,3.28676388889,3.07644444444,2.99505555556,4.01186111111,3.91002694444
9.6548816568,8.54801183432,8.73236686391,17.2587928994,45.8242189349,16.4326627219,25.5279467456,13.0880532544,15.8325495858
46.3644925373,46.7161243781,45.4064676617,66.4625223881,92.7762288557,61.2661741294,56.7837064677,59.5315074627,62.2417633831
59.1235702479,48.0489206612,62.4563454545,184.070785124,187.239614876,108.894917355,179.925046281,221.583642975,172.713027636
1.94929234973,1.29311748634,1.6022431694,3.62022404372,2.5544863388,1.70557923497,2.77989071038,3.42765300546,3.36528688525
338.2973869,257.373814166,332.356166032,769.259670221,1082.64653465,539.486227723,671.25770754,904.243295506,801.7417085
22.1760645161,21.7811182796,21.6588387097,22.8661182796,22.3230107527,21.9107204301,22.0303010753,22.1336129032,22.3583503226
11.9204931507,10.3281232877,11.0835616438,15.5505068493,12.1081643836,10.596890411,16.7747945205,14.6255890411,15.0448221918
9.89338129496,8.58813669065,8.81884892086,17.0359784173,13.9739784173,13.2503669065,13.4527410072,14.2301151079,15.0478893525
4.50228205128,4.40384615385,4.43148717949,6.16306410256,6.272,5.364,5.15941025641,5.36961538462,6.21974769231
81.8387081903,76.9377655714,80.3457871506,124.697495341,126.627659147,107.813333006,111.850729769,113.516008828,127.15330925
13.6879878049,12.2612195122,12.0043536585,13.9683414634,14.7540243902,12.8747439024,13.105304878,13.1239390244,13.8687292683
43.08683,42.83102,42.71031,44.01905,43.35783,43.27669,43.64362,43.65323,43.7103336
84.821173913,85.812826087,87.728173913,88.3153913043,85.3747391304,83.5906521739,86.8465652174,88.410173913,86.8273634783
