UGT,UGA,UGE,UARP,AGT,AGA,AGE,AARP,RANDOM
5.474875,5.09684722222,5.36509722222,7.969875,4.643,3.24501388889,3.49218055556,5.59884722222,10.3419563889
462.423852071,182.941804734,143.545650888,133.187473373,42.2950059172,44.149112426,37.9592011834,56.0593017751,148.236853491
10.7304699454,6.81481420765,8.7005273224,14.5762185792,6.36379781421,3.01460655738,4.70223224044,7.14843715847,16.1908806557
30.3971505376,27.5708709677,28.9410107527,28.9166021505,27.0390645161,24.7204301075,24.6627311828,33.0359354839,38.0302253763
56.6695971223,32.0255971223,40.6257985612,37.8500431655,24.2859136691,19.0065611511,22.5228561151,33.7887338129,64.1055523741
25.0002435897,13.3228076923,9.36851282051,17.2076153846,8.39094871795,7.17026923077,7.20615384615,9.69925641026,21.2221446154
1166.24903678,768.517972536,1048.31632712,935.649904855,143.651995096,151.228256989,160.635264345,145.440829819,771.75137537
101.733365854,32.9211219512,57.9973902439,26.8722560976,21.3197195122,18.2214146341,42.281,16.8325365854,37.6239326829
258.896565217,99.2746521739,222.99873913,262.212304348,105.453782609,104.11673913,111.373869565,105.726521739,196.66375913
700.477332046,447.082790219,1142.46430502,978.036620335,162.587379665,165.489513514,290.143749035,215.627361647,882.823229472
74.7299333333,29.5528,65.3298888889,43.6353777778,22.7609333333,19.6392,19.6326222222,23.0117777778,62.3052231111
2652.46374921,189.842453968,569.004063492,245.240495238,87.4872222222,82.4164793651,85.6769301587,117.350022222,432.454856571
637.032996154,497.535676923,618.719184615,582.418230769,283.966076923,255.210030769,249.181253846,253.708123077,536.854016154
195.540323475,125.407571165,115.302759704,138.844728281,78.6568040665,63.1731866913,64.6365083179,67.9839297597,125.805111091
