UGT,UGA,UGE,UARP,AGT,AGA,AGE,AARP,RANDOM
0.035624,0.0317494,0.0456864,0.044946,0.4151277,0.2754689,0.0409199,0.0352722,0.041944744
0.070757,0.081409,0.081409,0.0741,2.186871,0.64758,0.070757,0.073434,0.12400218
1.8,1.6,1.8,2.0,1.8,1.8,1.6,1.6,1.72
0.0518351,0.0320928,0.0345397,0.0443354,18.1579076,0.1415761,0.0485257,0.0236242,0.044577106
1.2,1.0,1.0,1.2,2.6,1.5,1.3,1.1,1.236
0.0612873,0.0641292,0.0585923,0.0569174,27.6823847,1.4609154,0.1173176,0.0612873,0.08053408
0.219358,0.11467,0.11467,0.11467,0.76652,0.672892,0.219358,0.11467,0.18820114
1.280201,0.182023,0.182023,1.040443,2.443994,0.542969,1.632026,1.028118,1.11253358
0.0469876,0.0469876,0.0469876,0.0607808,58.4015532,58.4015532,0.0491893,0.0521574,0.061006844
0.617783,0.141097,0.617783,0.398281,2.724604,0.940172,0.941167,0.617783,0.91123724
0.181006,0.181006,0.181006,0.66893,3.374348,0.66893,0.405129,0.405129,0.46701914
22.9,22.9,22.9,23.8,22.9,22.9,23.7,24.5,23.604
0.949913024902,0.220767021179,0.456405997276,1.32335710526,4.28567790985,3.1729940176,1.04323303699,0.457828044891,1.0106186676
0.133722,0.133722,0.107418,0.113536,0.345107,0.398602,0.158923,0.162012,0.17405742
2.0,1.5,1.6,1.6,3.2,2.3,2.1,1.5,1.988
0.081158,0.042772,3.273477,0.196236,30.404821,8.908114,0.044359,4.829669,1.64442748
0.185166,0.185166,0.185166,0.196775,0.484707,0.484707,0.199675,0.185166,0.19980868
0.1686118,0.0829075,0.6613403,0.5400401,2.2313271,0.5400401,0.8113552,0.3499451,0.361885214
0.073043,0.073043,0.127575,0.12171,0.372391,0.372391,0.165019,0.073043,0.11477902
0.0219125,0.0260066,0.0428609,0.0292131,0.9386438,1.2631334,0.036432,0.0435896,0.029532952
0.165114,0.06471,0.072908,0.077497,3.148943,0.581848,0.14889,0.071541,0.10065844
0.079509,0.087463,0.113679,0.156618,31.287656,17.262493,0.069792,0.328617,0.50270152
487.1,488.7,487.1,487.1,488.1,489.3,485.0,483.6,486.124
0.0641172,0.0641172,0.1127638,0.1628659,0.2162357,0.0724212,0.1595401,0.0824481,0.105901502
5.4,5.5,5.5,5.8,5.7,5.8,5.6,6.1,5.73
0.10851,0.10851,0.10851,0.10851,0.10851,0.10851,0.10851,0.133772,0.40025236
0.231326,0.231326,0.231326,0.231326,0.336476,0.231326,0.238162,0.287334,0.24343206
0.1130773,0.1130773,0.1143363,0.1154453,279.1909221,6.9422548,0.1031722,0.1668248,0.396698996
0.0730705,0.0730705,0.0880938,0.0730705,60.4917114,0.2878134,0.0732145,0.0732145,0.134503148
0.100093,0.111456,0.0889,0.322095,0.996705,0.167276,0.098882,0.136456,0.12211264
0.8950718,0.8950718,7.6654736,12.8714185,651.5985828,17.1375821,17.4258736,5.8013112,17.426009514
12.1,11.0,11.4,11.4,81.9,11.1,11.2,11.4,11.392
21.1,15.5,14.9,15.0,37.3,15.5,15.1,14.5,14.538
0.01,0.01,0.01,0.109,0.109,0.01,0.01,0.01,0.03574
0.01,0.01,0.01,0.01,5.0,0.01,0.109,0.109,0.0399
0.01,0.01,0.01,0.01,0.901,0.307,0.109,0.109,0.03594
0.01,0.01,0.109,0.208,1.706,0.01,0.109,0.218,0.15916
0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0298
0.01,0.01,0.307,0.406,4.6,3.2,0.109,0.01,0.1566
0.208,0.109,0.109,0.109,0.208,0.208,0.208,0.109,0.14464
0.208,0.208,0.406,0.505,0.703,0.703,0.505,0.406,0.48718
0.109,0.109,0.109,0.505,1.002,0.604,0.506,0.604,0.20998
0.01,0.01,0.01,0.01,0.505,0.01,0.01,0.109,0.06148
0.01,0.01,0.01,0.01,0.208,0.505,0.01,0.01,0.03178
0.703,0.109,0.109,0.307,1.1,0.703,0.109,0.307,0.45556
0.01,0.01,0.01,0.109,0.01,0.208,0.208,0.109,0.08524
0.505,0.605,0.605,1.103,1.1,0.605,1.1,1.7,0.90102
0.01,0.01,0.406,0.01,2.6,0.604,0.109,0.109,0.14662
0.01,0.01,0.01,0.01,0.208,0.208,0.01,0.01,0.0694
0.01,0.01,0.109,0.01,0.208,0.109,0.01,0.01,0.05356
0.109,0.109,0.109,0.307,0.208,0.307,0.307,0.208,0.20206
0.01,0.01,0.01,0.01,0.109,0.109,0.01,0.01,0.01
0.307,0.307,0.307,0.604,2.1,1.4,0.307,0.307,0.48426
0.01,0.01,0.01,0.01,0.01,0.01,0.109,0.109,0.06346
