UGT,UGA,UGE,UARP,AGT,AGA,AGE,AARP,RANDOM
0.109,0.109,0.01,0.01,0.01,0.01,0.01,0.01,0.08128
6.2,19.7,5.0,0.208,0.01,0.01,0.109,0.01,0.3777
0.208,0.208,0.109,0.109,0.01,0.01,0.01,0.01,0.08524
0.604,0.604,0.604,0.208,0.208,0.109,0.208,0.307,0.31108
7.3,1.1,0.506,0.406,0.109,0.109,0.307,0.208,0.68558
2.4,0.804,0.109,0.406,0.01,0.01,0.01,0.01,0.68302
1.2,1.2,0.505,0.307,0.01,0.01,0.208,0.01,0.11118
2.1,0.902,1.2,0.505,0.703,0.902,0.505,0.307,0.77952
2.7,1.7,2.2,1.2,1.1,0.605,0.605,1.004,1.32788
2.6,4.7,1.001,0.307,0.01,0.01,0.109,0.01,0.53984
0.208,0.208,0.208,1.101,0.01,0.01,0.01,0.01,0.4977
194.2,0.109,0.01,0.01,0.01,0.01,0.208,0.01,0.18628
0.505,0.505,0.307,0.208,0.109,0.109,0.505,0.109,0.39424
6.0,2.2,0.802,0.604,0.307,0.307,0.703,0.218,1.0693
