UGT,UGA,UGE,UARP,AGT,AGA,AGE,AARP,RANDOM
6.43151388889,5.57841666667,8.43356944444,8.03769444444,5.26922222222,4.16398611111,7.30973611111,8.27806944444,10.3419563889
354.441088757,316.462526627,181.888852071,112.597751479,32.5525502959,88.1183313609,42.2598994083,70.2820059172,148.236853491
12.3467923497,20.1542131148,19.0867568306,19.574284153,6.9425136612,17.5188196721,10.1790819672,14.4080464481,16.1908806557
31.0281182796,30.748655914,28.8037526882,33.2293655914,26.9291397849,24.9575698925,26.2512258065,30.4129784946,38.0302253763
54.1680071942,54.2826546763,38.6170359712,53.4507194245,53.6341151079,53.9584316547,42.4352446043,54.2310863309,64.1055523741
23.2424102564,19.0228717949,18.0552307692,24.7158205128,11.3821025641,11.484025641,11.0344871795,11.162,21.2221446154
1316.22900736,822.867390878,467.732062285,610.494924473,169.972430603,521.78687592,215.175193722,551.40623541,771.75137537
68.3972317073,27.857804878,19.3345487805,26.501597561,21.3372682927,16.5914390244,18.8723170732,21.1774146341,37.6239326829
136.673173913,134.297521739,170.949608696,136.530130435,108.25,143.683521739,117.923782609,155.762478261,196.66375913
1234.44128314,660.187984556,1128.49304376,741.356967825,227.455118404,364.951725869,346.677525097,512.088890605,882.823229472
61.2082,28.7237333333,24.3886666667,52.6738222222,23.0233111111,22.4620666667,25.6617333333,34.6693777778,62.3052231111
244.181806349,232.549044444,149.120838095,364.012206349,116.559885714,152.377939683,109.798936508,190.991079365,432.454856571
571.551738462,396.474496154,312.128488462,480.925057692,256.744769231,256.247842308,262.565376923,284.491953846,536.854016154
165.19468207,157.819439926,111.835092421,131.739798521,88.3215064695,122.43974122,79.4517874307,115.069001848,125.805111091
