UGT,UGA,UGE,UARP,AGT,AGA,AGE,AARP,RANDOM
0.109,0.109,0.208,0.01,0.01,0.01,0.109,0.109,0.08128
3.0,0.703,0.703,0.01,0.01,0.01,0.01,0.109,0.3777
0.109,0.208,0.01,0.01,0.01,0.01,0.109,0.01,0.08524
0.406,0.406,0.406,0.802,0.208,0.208,0.208,0.307,0.31108
1.4,1.3,0.901,0.109,0.208,0.208,0.901,0.505,0.68558
1.4,1.4,0.804,1.003,0.01,0.01,0.01,0.406,0.68302
0.505,0.307,0.01,0.01,0.01,0.01,0.109,0.01,0.11118
3.3,0.802,0.902,0.802,0.109,0.109,0.109,0.703,0.77952
2.3,1.1,1.1,1.402,0.505,0.605,0.803,1.1,1.32788
14.0,0.901,1.3,0.109,0.01,0.01,0.109,0.109,0.53984
6.0,0.208,0.307,0.208,0.01,0.01,0.208,0.01,0.4977
0.307,0.109,0.01,0.109,0.01,0.01,0.109,0.01,0.18628
0.604,0.803,0.604,0.208,0.208,0.109,0.506,0.109,0.39424
0.901,4.3,2.61,2.607,0.109,0.109,1.0,0.703,1.0693
