UGT,UGA,UGE,UARP,AGT,AGA,AGE,AARP,RANDOM
10.2294027778,6.44154166667,9.29834722222,10.0977222222,6.19352777778,4.09701388889,6.19672222222,6.64081944444,10.3419563889
360.35256213,257.886059172,83.1152544379,163.680236686,44.424852071,86.5544556213,47.0107455621,95.1560591716,148.236853491
12.2887595628,21.9010628415,16.4249125683,24.6752622951,7.02482513661,19.3378224044,12.0515382514,11.2298961749,16.1908806557
30.4887741935,30.0506129032,30.437827957,53.8142795699,26.4800967742,24.9383870968,26.9619677419,25.6966989247,38.0302253763
54.1680071942,54.2826546763,43.0355683453,71.7026834532,53.564057554,53.8113021583,41.8895467626,84.9699568345,64.1055523741
24.2520512821,20.0405769231,17.0442307692,20.7103717949,11.4771923077,11.9409358974,10.7626410256,13.9451282051,21.2221446154
1255.70695684,789.476590486,517.810619421,571.398816086,199.505748897,532.508448259,216.664177538,504.3078769,771.75137537
68.4989878049,28.113902439,27.0546585366,22.0032317073,20.8162804878,18.0080243902,18.6043170732,33.9626707317,37.6239326829
135.659478261,134.351608696,165.182130435,272.248173913,108.802434783,143.432086957,159.381478261,277.485913043,196.66375913
1313.00092793,808.855176319,1024.15958044,790.638642214,266.827105534,390.728301158,377.577733591,493.820037323,882.823229472
65.4331111111,29.1861777778,47.6054222222,39.2804444444,23.1864444444,22.3961555556,22.8335555556,29.5116888889,62.3052231111
315.344095238,233.227765079,262.438977778,225.074057143,133.045961905,156.459295238,106.537330159,224.314536508,432.454856571
581.915896154,396.408988462,290.682830769,516.644226923,252.905873077,273.6342,260.787892308,507.934746154,536.854016154
152.714249538,145.170349353,109.668968577,101.889887246,87.9333253235,122.491720887,72.6124473198,99.5315563771,125.805111091
