UGT,UGA,UGE,UARP,AGT,AGA,AGE,AARP,RANDOM
0.109,0.109,0.01,0.208,0.01,0.01,0.01,0.01,0.08128
3.0,0.208,0.208,0.208,0.01,0.01,0.109,0.109,0.3777
0.109,0.208,0.109,0.01,0.01,0.01,0.01,0.01,0.08524
0.406,0.406,0.406,0.406,0.208,0.109,0.208,0.208,0.31108
1.4,1.3,0.703,0.505,0.208,0.208,0.406,0.505,0.68558
1.4,1.4,0.109,0.01,0.01,0.01,0.01,0.01,0.68302
0.505,0.01,0.406,0.01,0.01,0.01,0.01,0.01,0.11118
3.3,0.902,0.902,0.109,0.109,0.109,0.505,0.505,0.77952
0.605,1.1,0.505,1.41,0.505,0.505,0.505,1.002,1.32788
0.406,0.406,0.208,0.307,0.01,0.01,0.604,0.109,0.53984
6.0,0.208,0.208,0.01,0.01,0.01,0.01,0.01,0.4977
0.307,0.01,0.307,0.109,0.01,0.01,0.01,0.01,0.18628
0.604,0.505,0.307,0.604,0.208,0.208,0.307,0.208,0.39424
0.901,4.3,0.802,0.802,0.109,0.109,0.307,0.505,1.0693
