UGT,UGA,UGE,UARP,AGT,AGA,AGE,AARP,RANDOM,subject,gn,ts
5.46695833333,5.15172222222,5.26488888889,9.48159722222,4.66918055556,3.71175,3.82486111111,8.19731944444,10.3419563889,nv-websocket-client,4,1.5
498.594798817,219.087408284,149.087591716,138.377928994,42.2527928994,61.7951656805,43.0268047337,50.7849408284,148.236853491,webbit,4,1.5
11.2908661202,9.26459289617,9.27139344262,13.9112622951,6.72175136612,4.28777868852,7.66596721311,7.40838251366,16.1908806557,protoparser,4,1.5
31.2273870968,28.5991612903,29.1373548387,32.7827634409,26.9546344086,25.0214408602,24.9107741935,30.5614623656,38.0302253763,lanterna,4,1.5
46.9053741007,35.2617410072,44.4101366906,49.6106618705,23.3808201439,21.4170935252,24.9065539568,42.5756402878,64.1055523741,jackson-datatype-guava-v2,4,1.5
26.5155,13.1041153846,11.404025641,16.7505641026,9.19784615385,7.46196153846,8.71742307692,10.8686153846,21.2221446154,gson-fire-v2,4,1.5
1091.42711329,895.486218244,970.992339872,923.358369789,145.939879353,188.094731731,195.141714566,149.714038744,771.75137537,jackson-core,4,1.5
99.7906585366,61.8402439024,20.1831097561,23.813597561,21.2745853659,18.2644634146,17.4261219512,29.1970731707,37.6239326829,DiskLruCache,4,1.5
257.674826087,152.837434783,255.287782609,313.824217391,106.869869565,123.74126087,115.817782609,102.331869565,196.66375913,JActor,4,1.5
716.229813385,488.983694981,1019.41056885,1069.50501544,162.30818018,207.133864865,270.897236808,219.908518662,882.823229472,joss,4,1.5
70.7043333333,27.8706888889,56.2901777778,69.7327111111,22.7241111111,20.7466666667,21.0662444444,22.6672,62.3052231111,restcountries,4,1.5
2664.65372381,1215.44611746,901.906993651,267.868003175,87.1678412698,141.119460317,86.0430666667,186.043774603,432.454856571,asterisk-java-v2,4,1.5
515.035873077,682.090265385,348.453284615,458.643361538,282.267357692,257.729588462,254.182715385,493.1956,536.854016154,low-gc-membuffers,4,1.5
189.315946396,138.548942699,121.366942699,132.467944547,79.7689279113,65.5727449168,70.7929500924,105.463981516,125.805111091,raml-java-parser,4,1.5
