UGT,UGA,UGE,UARP,AGT,AGA,AGE,AARP,RANDOM,subject,gn,ts
0.109,0.109,0.01,0.01,0.01,0.01,0.01,0.109,0.08128,nv-websocket-client,4,1.5
6.2,5.0,0.01,0.01,0.01,0.01,0.307,0.208,0.3777,webbit,4,1.5
0.01,0.208,0.109,0.109,0.01,0.01,0.01,0.01,0.08524,protoparser,4,1.5
0.604,0.802,0.604,0.406,0.208,0.208,0.208,0.208,0.31108,lanterna,4,1.5
3.5,1.1,1.3,0.802,0.109,0.109,0.802,0.604,0.68558,jackson-datatype-guava-v2,4,1.5
2.4,0.705,0.109,0.01,0.01,0.01,0.109,0.01,0.68302,gson-fire-v2,4,1.5
1.501,1.501,0.406,0.109,0.01,0.01,0.01,0.01,0.11118,jackson-core,4,1.5
2.1,0.902,0.902,1.1,0.109,0.109,0.505,0.505,0.77952,DiskLruCache,4,1.5
2.2,1.7,1.1,1.7,1.1,0.605,1.7,1.2,1.32788,JActor,4,1.5
2.6,4.7,0.901,0.01,0.01,0.01,0.505,0.109,0.53984,joss,4,1.5
0.406,0.406,0.406,0.01,0.01,0.01,0.01,0.01,0.4977,restcountries,4,1.5
194.2,0.109,0.01,0.109,0.01,0.01,0.208,0.01,0.18628,asterisk-java-v2,4,1.5
0.505,0.505,0.506,0.505,0.109,0.109,0.703,0.109,0.39424,low-gc-membuffers,4,1.5
5.2,2.2,1.003,0.705,0.307,0.307,0.307,0.902,1.0693,raml-java-parser,4,1.5
