UGT,UGA,UGE,UARP,AGT,AGA,AGE,AARP,RANDOM,subject,gn,ts
5.474875,5.09684722222,5.36509722222,6.54655555556,4.643,3.24501388889,3.49218055556,6.87998611111,10.3419563889,nv-websocket-client,4,1.5
462.423852071,182.941804734,143.545650888,113.731266272,42.2950059172,44.149112426,37.9592011834,47.8218757396,148.236853491,webbit,4,1.5
10.7304699454,6.81481420765,8.7005273224,13.9195956284,6.36379781421,3.01460655738,4.70223224044,8.47138251366,16.1908806557,protoparser,4,1.5
30.3971505376,27.5708709677,28.9410107527,31.445311828,27.0390645161,24.7204301075,24.6627311828,30.5828387097,38.0302253763,lanterna,4,1.5
56.6695971223,32.0255971223,40.6257985612,61.0885467626,24.2859136691,19.0065611511,22.5228561151,32.1910359712,64.1055523741,jackson-datatype-guava-v2,4,1.5
25.0002435897,13.3228076923,9.36851282051,18.6605512821,8.39094871795,7.17026923077,7.20615384615,11.6591410256,21.2221446154,gson-fire-v2,4,1.5
1166.24903678,768.517972536,1048.31632712,652.634050515,143.651995096,151.228256989,160.635264345,148.316357038,771.75137537,jackson-core,4,1.5
101.733365854,32.9211219512,57.9973902439,22.9337439024,21.3197195122,18.2214146341,42.281,19.9981219512,37.6239326829,DiskLruCache,4,1.5
258.896565217,99.2746521739,222.99873913,197.652217391,105.453782609,104.11673913,111.373869565,111.516913043,196.66375913,JActor,4,1.5
700.477332046,447.082790219,1142.46430502,999.971842986,162.587379665,165.489513514,290.143749035,228.115859717,882.823229472,joss,4,1.5
74.7299333333,29.5528,65.3298888889,54.9867111111,22.7609333333,19.6392,19.6326222222,24.0066222222,62.3052231111,restcountries,4,1.5
2652.46374921,189.842453968,569.004063492,203.878612698,87.4872222222,82.4164793651,85.6769301587,87.2022,432.454856571,asterisk-java-v2,4,1.5
637.032996154,497.535676923,618.719184615,835.470792308,283.966076923,255.210030769,249.181253846,324.930661538,536.854016154,low-gc-membuffers,4,1.5
195.540323475,125.407571165,115.302759704,126.632792976,78.6568040665,63.1731866913,64.6365083179,77.7203327172,125.805111091,raml-java-parser,4,1.5
