UGT,UGA,UGE,UARP,AGT,AGA,AGE,AARP,RANDOM,subject,gn,ts
0.109,0.109,0.01,0.01,0.01,0.01,0.01,0.01,0.08128,nv-websocket-client,4,1.5
6.2,19.7,5.0,0.01,0.01,0.01,0.109,0.109,0.3777,webbit,4,1.5
0.208,0.208,0.109,0.109,0.01,0.01,0.01,0.01,0.08524,protoparser,4,1.5
0.604,0.604,0.604,0.307,0.208,0.109,0.208,0.406,0.31108,lanterna,4,1.5
7.3,1.1,0.506,0.208,0.109,0.109,0.307,0.604,0.68558,jackson-datatype-guava-v2,4,1.5
2.4,0.804,0.109,0.109,0.01,0.01,0.01,0.01,0.68302,gson-fire-v2,4,1.5
1.2,1.2,0.505,0.01,0.01,0.01,0.208,0.01,0.11118,jackson-core,4,1.5
2.1,0.902,1.2,0.307,0.703,0.902,0.505,0.505,0.77952,DiskLruCache,4,1.5
2.7,1.7,2.2,1.011,1.1,0.605,0.605,1.004,1.32788,JActor,4,1.5
2.6,4.7,1.001,0.208,0.01,0.01,0.109,0.01,0.53984,joss,4,1.5
0.208,0.208,0.208,0.307,0.01,0.01,0.01,0.01,0.4977,restcountries,4,1.5
194.2,0.109,0.01,0.605,0.01,0.01,0.208,0.01,0.18628,asterisk-java-v2,4,1.5
0.505,0.505,0.307,0.307,0.109,0.109,0.505,0.109,0.39424,low-gc-membuffers,4,1.5
6.0,2.2,0.802,1.309,0.307,0.307,0.703,0.604,1.0693,raml-java-parser,4,1.5
