UGE,AGE,UGEm,AGEm
9413.99734536,1053.46711212,10425.1548362,1049.58645026
8438.57214346,1062.45623647,8797.19910685,1818.36107119
7823.51926428,885.068334528,6279.67019565,977.283206815
9296.57277017,1022.3832642,7637.99208698,1260.9158587
3427.76938744,387.205724785,3570.44099219,494.183325765
3701.85821566,441.22144744,2869.01309861,417.163510249
3758.27244905,432.988225186,2975.29276928,419.673394213
2925.38364836,460.371020925,4306.18120052,588.548959928
1257.83051218,233.682720702,1702.92161842,279.394987853
1738.17357488,237.95816116,2338.46058467,229.267499625
2191.59875007,254.746568891,1656.43824015,269.529181811
2107.84418879,291.63470155,1187.32187754,281.332025334
725.216770203,149.891364645,931.35837714,172.714123528
1224.99182178,164.694328287,1879.74562898,157.967495807
1427.64832398,172.542925327,1323.01118285,201.669578916
1763.26500614,166.080118015,1600.14764063,149.735126322
39988.1725363,10131.8888334,39339.1178133,7796.81137193
46889.6121958,11183.8281795,44454.1514434,9458.50105131
37010.8606214,8523.28083513,32792.3571576,7324.17495289
48339.4331409,9080.54981302,37817.0366226,6843.25100808
15035.0863709,3592.33417886,13280.5956091,3938.17538592
14263.3382621,3647.94195961,14414.8417167,3392.84155658
14500.8441095,3748.40909953,17729.7759807,3682.2457308
15458.7618119,3941.31841246,12636.5897357,3707.86740379
7829.81080195,2712.20310752,9772.22840597,2508.78788566
8328.69587879,2734.7992229,8539.11261921,2673.48992623
8163.50802689,2634.98777025,12345.0329513,2843.77089481
11887.9427239,2762.05760122,10850.6467363,2724.17644259
5189.98705661,2272.31698473,9485.33055366,2600.75257848
6866.01896504,2435.22592953,6430.75469601,2298.76224355
8455.1768112,2387.45434276,6127.98661779,2415.11858815
7869.42291268,2467.38415558,7911.65558161,2306.92933749
152.551948052,71.8597402597,160.493506494,76.7642857143
128.731818182,71.2311688312,122.057142857,76.8642857143
124.937662338,70.2961038961,120.094805195,76.4597402597
125.866233766,69.5623376623,140.685714286,73.0753246753
61.3090909091,41.9902597403,78.4538961039,44.0136363636
74.5824675325,41.024025974,61.0448051948,42.3766233766
64.4409090909,40.8298701299,67.7467532468,43.6714285714
