UGE,AGE,UGEm,AGEm
0.0258116,0.0370007,0.0707074,0.1005622
0.0764171,0.1955365,0.2034937,0.0585274
0.0794795,0.0513358,0.0458207,0.1279625
0.2187386,5.8114983,0.0707074,0.0468466
0.0929356,0.0542161,0.0665822,0.0414192
0.039517,0.0665822,0.0975743,0.0760721
0.0656971,0.0617943,0.0375564,0.0683603
0.0337285,0.0306621,0.0334973,0.0467163
0.0371127,0.0317188,0.0375564,0.0381884
0.0483283,0.0409199,0.047483,0.0304146
0.0543784,0.0339063,0.0467163,0.0415109
0.0827933,0.0477669,0.036101,0.0357399
0.0317494,0.0346707,0.0409199,0.0456864
0.0374614,0.033075,0.0428529,0.0404333
0.0409199,0.0317188,0.0346707,0.035624
0.0346707,0.0528877,0.0316458,0.0375564
0.122118,0.075115,0.090121,0.084749
0.154245,0.081754,2.154472,0.101295
0.105567,0.104299,0.148188,0.45194
0.081409,0.431467,2.517037,0.243506
0.072629,0.250095,0.231715,0.072466
0.118125,0.104299,0.103599,0.18
1.275552,0.072466,0.075115,0.155414
1.275552,2.710512,0.119998,0.139491
0.178224,0.122118,0.081754,0.081754
0.089709,0.0741,0.232604,0.314968
2.046495,0.073434,2.409946,0.148188
0.227614,0.073799,0.070757,0.110985
0.090121,0.073799,0.070757,0.081409
0.122118,0.073799,0.090121,0.162594
0.305239,0.080917,0.073434,0.122118
0.072629,0.305239,0.16679,0.106326
1.6,1.8,2.4,2.0
2.1,1.8,2.1,1.8
2.1,1.8,1.8,2.0
6.5,1.9,4.0,1.6
1.9,2.0,2.3,1.6
1.7,1.9,2.0,1.6
2.0,1.8,2.1,1.8
2.1,1.4,1.8,1.8
2.0,1.4,1.6,1.4
1.7,1.6,1.8,1.8
2.1,1.8,2.1,1.8
2.1,1.4,1.7,1.8
2.0,1.8,1.6,1.8
2.1,1.6,1.8,1.6
1.4,1.6,1.6,1.6
1.7,1.4,2.1,1.8
2.7925476,0.0380873,0.572774,0.0500339
0.6675297,0.0448974,0.0568796,0.1171932
0.0649978,0.0580055,0.0345397,0.7391654
0.1618876,0.0565151,0.6578474,0.0902734
0.0608648,0.0436879,0.0605803,0.0567918
0.0557681,0.0359024,0.0517545,0.0559786
0.0340862,0.0570358,0.0500339,0.0999175
0.5991543,0.0865343,0.0393217,0.0650112
0.1180059,0.0567918,0.0444233,0.0529466
0.0511426,0.1518482,0.0443354,0.0702103
0.040613,0.0236242,0.0495409,0.0524365
0.081069,0.0518351,0.047256,0.044851
0.0519382,0.0564689,0.0485257,0.0345397
0.0477323,0.0448413,0.0305491,0.0409072
0.0415476,0.044851,0.0345397,0.0365676
0.0574375,0.0438035,0.0448413,0.086712
1.1,1.3,2.0,1.5
2.1,1.8,2.6,2.0
2.1,1.5,1.4,1.7
1.3,1.5,1.2,2.6
1.3,1.6,1.3,1.1
1.7,1.0,1.7,1.7
1.4,1.7,1.8,1.5
1.7,1.0,1.4,1.0
1.4,1.0,1.7,1.0
1.2,1.5,1.4,1.1
1.6,1.4,1.7,1.2
1.2,1.6,1.0,1.4
