UGT,UGA,UGE,UARP,AGT,AGA,AGE,AARP,RANDOM,subject,gn,ts
448.974455526,151.648331151,100.295138943,169.209467726,66.5801167366,61.0502646397,69.693977422,75.279679389,239.062222637,blueflood,50,1.5
95.6948400328,65.4382394926,65.2584235925,67.4952561237,56.1785235657,54.3601021009,58.1559508839,57.0040312557,76.3318439106,blueflood,100,1.5
56.8071647741,53.1095447289,55.149139117,53.7280358717,52.7781151197,52.3721306114,53.1950974139,52.789753919,55.1794112658,blueflood,200,1.5
2563.14327689,1837.56750122,1780.87179855,1760.33504232,1799.02850826,1765.88542821,1734.9609919,1817.53071586,1920.1327804,commons-pool,50,1.5
1702.85512521,1695.53799317,1699.07014065,1695.90136245,1696.46765043,1694.8503062,1694.92411882,1695.58787176,1697.16533464,commons-pool,100,1.5
1693.78291818,1693.61085149,1693.57564423,1695.28831932,1693.66627501,1693.60573118,1693.55012889,1693.6013384,1693.62883908,commons-pool,200,1.5
342.060882442,314.738177287,285.248709146,271.021325814,277.835639507,261.127905238,270.067208194,268.939825719,285.645187003,jsprit,50,1.5
280.405585381,270.687044662,259.035733636,256.883208371,261.444041086,253.904457024,257.063496613,256.491736197,262.771167848,jsprit,100,1.5
258.599001742,254.998394629,254.105602516,252.490522251,254.189223576,251.457108167,252.88801229,252.380959689,254.427335674,jsprit,200,1.5
176.748107833,64.9603943268,65.4364870039,73.254630416,107.836507795,60.538757773,69.6398616312,64.1464285066,93.0371095741,rome-1.5.0,50,1.5
98.9076506286,51.3636361417,54.8539444108,49.785437811,68.5832946588,50.5223162625,52.4612416627,50.0415796903,62.7822605176,rome-1.5.0,100,1.5
64.7898950079,46.3748092388,48.5737769226,46.686610899,53.0306520039,46.437303479,48.1102474213,46.9043539239,50.7866619336,rome-1.5.0,200,1.5
1555.83848123,870.330466338,846.854749531,923.511069389,394.285506296,344.548757677,434.775801146,389.83849556,1016.78397109,RoaringBitmap,50,1.5
618.498743165,430.253078222,415.942933719,417.399031813,304.543076244,284.100900663,307.316784227,300.131096379,456.561379475,RoaringBitmap,100,1.5
317.820171176,281.27164312,280.80346458,281.919942709,269.768289427,264.915630583,271.089405831,269.063348958,292.701605237,RoaringBitmap,200,1.5
780.984850136,609.325122616,1115.97607629,1011.51149864,873.663651226,607.822506812,1086.0439782,1057.39852861,1273.38997711,assertj-core,50,1.5
435.871934605,342.666757493,576.64119891,575.091771117,478.30359673,344.605558583,548.299564033,574.56986376,678.394827248,assertj-core,100,1.5
260.406866485,214.871662125,303.983978202,314.426485014,267.013405995,213.597929155,315.665613079,319.703433243,368.035513896,assertj-core,200,1.5
18197.6847042,15175.7125692,16349.8366599,15620.9001397,15307.57592,15123.7238515,15505.5860014,15253.147178,16018.5101313,mapdb-mapdb-1.0.9,50,1.5
15831.9353356,14950.0595342,15258.7361945,15058.806369,15055.7816776,14937.0672651,15094.4729286,14989.3815202,15259.6696971,mapdb-mapdb-1.0.9,100,1.5
15177.7939292,14876.6750864,14955.6347573,14923.5321824,14938.8171002,14870.6631836,14901.367838,14907.3383557,14992.4555733,mapdb-mapdb-1.0.9,200,1.5
18.5232682105,12.5729206788,12.2801821889,14.1855267544,13.4387869892,10.788437556,11.6762227598,12.5418384467,15.732566833,lambdaj-master,50,1.5
11.2793776127,10.3145867733,10.4089996977,10.442388637,10.5072959852,9.81407259514,10.0804189082,10.2016170202,10.9368118332,lambdaj-master,100,1.5
9.70434040621,9.57738958704,9.5902367112,9.62370275709,9.66613080432,9.53057004049,9.55864949798,9.57461797706,9.69208726437,lambdaj-master,200,1.5
21471.554964,7149.31194804,6937.62940677,6486.02450782,2878.37850156,1335.3854334,2794.88568489,2176.31329642,8897.94428785,camel-core,50,1.5
