UGT,UGA,UGE,UARP,AGT,AGA,AGE,AARP,RANDOM,subject,gn,ts
448.974455526,151.648331151,100.295138943,169.209467726,66.5801167366,61.0502646397,69.693977422,75.279679389,239.062222637,blueflood,50,1.5
2563.14327689,1837.56750122,1780.87179855,1760.33504232,1799.02850826,1765.88542821,1734.9609919,1817.53071586,1920.1327804,commons-pool,50,1.5
342.060882442,314.738177287,285.248709146,271.021325814,277.835639507,261.127905238,270.067208194,268.939825719,285.645187003,jsprit,50,1.5
176.748107833,64.9603943268,65.4364870039,73.254630416,107.836507795,60.538757773,69.6398616312,64.1464285066,93.0371095741,rome-1.5.0,50,1.5
1555.83848123,870.330466338,846.854749531,923.511069389,394.285506296,344.548757677,434.775801146,389.83849556,1016.78397109,RoaringBitmap,50,1.5
780.984850136,609.325122616,1115.97607629,1011.51149864,873.663651226,607.822506812,1086.0439782,1057.39852861,1273.38997711,assertj-core,50,1.5
18197.6847042,15175.7125692,16349.8366599,15620.9001397,15307.57592,15123.7238515,15505.5860014,15253.147178,16018.5101313,mapdb-mapdb-1.0.9,50,1.5
18.5232682105,12.5729206788,12.2801821889,14.1855267544,13.4387869892,10.788437556,11.6762227598,12.5418384467,15.732566833,lambdaj-master,50,1.5
21471.554964,7149.31194804,6937.62940677,6486.02450782,2878.37850156,1335.3854334,2794.88568489,2176.31329642,8897.94428785,camel-core,50,1.5
504.536490545,174.041634016,119.212993538,136.807189551,138.761377093,122.93815905,132.403270778,107.959229174,277.851201171,commons-dbcp,50,1.5
2257.13795048,784.861739797,610.892204705,808.968510292,309.28768761,308.811955146,382.789509207,391.252287916,1065.45758759,commons-math,50,1.5
4922.15439903,4823.60908797,4964.03388503,4914.14656966,4811.95080163,4762.60940346,4758.21953686,4879.91182797,4946.56535285,OpenTripPlanner-otp-0.20.0,50,1.5
12652.3760604,5841.57107168,3997.71110982,3834.48077522,2898.20821646,2284.7699586,2560.89287677,3021.91861109,6122.42464566,hbase-1.2.2,50,1.5
485.034182585,384.42546185,441.73374369,396.368426526,362.219708809,354.517409582,372.722172924,372.668183467,459.195963988,commons-io,50,1.5
49.2347569956,34.9631811487,33.9435935199,32.7835051546,45.6001472754,31.0430044183,38.1182621502,30.7409425626,42.0997496318,jopt-simple,50,1.5
31190.5461744,18312.3747711,19892.921615,20417.3702392,16465.8650723,13328.9929087,14659.3973474,16950.9516083,22059.5808087,languagetool,50,1.5
143.810485178,136.507742194,137.357948116,136.917304405,139.504930524,134.318588909,136.088870722,135.872071062,139.401396869,asterisk-java,50,1.5
1317.06156187,446.306186613,574.376369168,446.447363083,773.669574037,367.811764706,395.85,439.307809331,487.901212982,la4j,50,1.5
786.233730374,367.939794261,469.557823498,493.018029237,662.406605306,339.06697347,432.349756362,485.947103411,518.572308609,vraptor_archive,50,1.5
43.4200644628,34.2298049587,32.7527652893,47.4196909091,25.6427140496,21.1670082645,22.0267553719,26.0898727273,41.4114047273,javapoet,50,1.5
287.270956588,200.18283473,198.94633968,216.276436405,180.654619954,163.083159939,177.775971059,183.577505712,226.568696161,streamex,50,1.5
69.5350122609,67.6786051986,68.4404212849,69.3260446297,66.9618916135,66.125556155,66.8183555665,66.9942285434,70.1146177734,jackson-core,50,1.5
58.8864517375,48.9363989704,50.3908635779,67.6241467181,44.2752509653,43.6971441441,44.5120501931,46.7633667954,68.7308341313,joss,50,1.5
52.813447619,51.9346857143,52.1184761905,52.4273777778,51.9658698413,51.1982190476,51.6868888889,51.7890793651,52.5598547302,asterisk-java-v2,50,1.5
60.6345670225,58.0350676157,58.340599051,58.6735753262,57.9018434164,57.1593143535,57.9325421115,57.7037924081,58.7612644128,la4j-v2,50,1.5
13.7435401929,13.615266881,13.772807074,14.721073955,14.2314758842,13.6714662379,13.2993151125,14.6013762058,15.5043214148,redline-smalltalk,50,1.5
