UGT,UGA,UGE,UARP,AGT,AGA,AGE,AARP,RANDOM,subject,gn,ts
0.4067573,0.0599113,0.032364,0.034906,0.0310005,0.0306621,0.0317188,0.0306621,0.034329078,blueflood,50,1.5
2.122708,0.104299,0.072466,0.103599,0.070757,0.080917,0.076892,0.073799,0.07885632,commons-pool,50,1.5
0.7413996,0.1415761,0.0474114,0.0236242,0.0331915,0.0234891,0.0365676,0.0340862,0.035365444,jsprit,50,1.5
1.534625,0.182023,0.542969,0.262967,0.237135,0.182023,0.237135,1.028118,0.8042939,rome-1.5.0,50,1.5
14.5040508,0.0915329,0.0518593,0.0525357,0.0469876,0.0469876,0.0492222,0.0473824,0.052769712,RoaringBitmap,50,1.5
22.9,22.9,23.5,22.7,22.9,22.9,23.2,23.2,23.1,assertj-core,50,1.5
1.44616305828,0.274798989296,0.253507018089,0.301568984985,0.949913024902,0.220767021179,0.280371069908,0.253507018089,0.544170763493,mapdb-mapdb-1.0.9,50,1.5
0.155141,0.225918,0.103687,0.103687,0.133722,0.103687,0.103687,0.103687,0.12874608,lambdaj-master,50,1.5
28.331532,6.744776,0.07579,0.053188,0.040416,0.042772,4.466636,0.040416,0.3593289,camel-core,50,1.5
2.2313271,0.3169827,0.2245181,0.1509983,0.1418237,0.0829075,0.0836821,0.0836821,0.236238582,commons-dbcp,50,1.5
0.9386438,0.0851706,0.0190861,0.0197969,0.0219125,0.0227713,0.0226482,0.0156434,0.022535224,commons-math,50,1.5
3.148943,0.092684,0.086299,0.073547,0.06471,0.06471,0.079641,0.06471,0.07432646,OpenTripPlanner-otp-0.20.0,50,1.5
31.287656,3.55748,0.131917,0.069792,0.067187,0.067187,0.127282,0.067187,0.09522558,hbase-1.2.2,50,1.5
0.2162357,0.0724212,0.0779153,0.0779153,0.0641172,0.0641172,0.0727353,0.0641172,0.08650765,commons-io,50,1.5
5.7,5.7,5.5,5.5,5.4,5.3,5.5,5.3,5.428,jopt-simple,50,1.5
73.111348,1.1248057,0.0985765,0.0708315,0.0855454,0.0708315,0.0850745,0.0708315,0.101337742,languagetool,50,1.5
0.217126,0.120002,0.074339,0.098882,0.074339,0.100765,0.100765,0.074339,0.093707,asterisk-java,50,1.5
81.4,11.1,11.2,11.0,12.1,11.0,11.1,11.1,11.228,la4j,50,1.5
21.8,13.9,14.1,14.2,21.1,13.9,14.6,13.7,14.17,vraptor_archive,50,1.5
1.11,0.01,0.109,0.01,0.01,0.01,0.01,0.01,0.0399,javapoet,50,1.5
1.8,0.901,0.109,0.01,0.01,0.01,0.01,0.01,0.06544,streamex,50,1.5
0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,jackson-core,50,1.5
0.904,0.307,0.109,0.01,0.01,0.01,0.01,0.01,0.0397,joss,50,1.5
0.109,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,asterisk-java-v2,50,1.5
0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,la4j-v2,50,1.5
0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0199,redline-smalltalk,50,1.5
