UGT,UGA,UGE,UARP,AGT,AGA,AGE,AARP,RANDOM
287632.270365,100715.496545,102374.975646,89226.8044027,34458.5006388,14548.1409307,71771.7503479,31117.5420705,125622.159851
287632.270365,100715.496545,115951.762357,95606.4187713,34458.5006388,14548.1409307,76518.7577846,24277.3389601,127526.574278
287632.270365,100715.496545,122557.238484,96085.1585783,34458.5006388,14548.1409307,78023.9028475,28662.8799643,124369.632908
287632.270365,100715.496545,108451.953413,96854.6972692,34458.5006388,14548.1409307,74249.8341135,25720.7050843,124495.932106
142824.314235,49738.4052842,50781.8003786,46421.0475003,17262.9816252,7351.12893825,34380.837371,14949.8463244,62374.216531
142824.314235,49738.4052842,52514.1717929,45774.6519634,17262.9816252,7351.12893825,36306.5356505,13439.9742449,62347.7066192
142824.314235,49738.4052842,46291.7026111,47118.0624152,17262.9816252,7351.12893825,34566.4447783,15077.5699998,61813.4777564
142824.314235,49738.4052842,50740.9902941,46032.5761701,17262.9816252,7351.12893825,34846.648127,13082.4182061,61744.7545647
94766.2188156,32792.7741224,33423.5333636,30373.0271717,11550.5646396,4953.28521181,20139.1824853,9192.20079591,40415.0121709
94766.2188156,32792.7741224,31889.1594883,32031.7506207,11550.5646396,4953.28521181,20842.8461475,9873.02841603,40700.9451814
94766.2188156,32792.7741224,33456.8353058,31651.0617616,11550.5646396,4953.28521181,20712.1867776,9069.02318956,40411.9898343
94766.2188156,32792.7741224,32687.9809659,31458.0016773,11550.5646396,4953.28521181,19433.9379338,9320.91998296,40795.2479639
70774.4150884,24252.4368327,23337.7781853,23164.4118983,8691.40008219,3755.39135202,14175.6521575,7031.20531035,29827.3610804
70774.4150884,24252.4368327,20709.5210391,23162.3549826,8691.40008219,3755.39135202,14038.909361,6573.55841262,29958.8805216
70774.4150884,24252.4368327,21826.1082873,22327.4103695,8691.40008219,3755.39135202,13990.0042696,7362.24188434,30210.2373287
70774.4150884,24252.4368327,25699.5140632,22933.8231744,8691.40008219,3755.39135202,14577.5126108,6941.46644759,29893.1258074
