UGT,UGA,UGE,UARP,AGT,AGA,AGE,AARP,RANDOM
35.660217,11.661234,0.308609,0.055375,0.081276,0.081276,0.887494,0.079537,4.82174518
35.660217,11.661234,6.116913,0.066847,0.081276,0.081276,4.868812,0.040779,5.64448794
35.660217,11.661234,5.19223,0.087902,0.081276,0.081276,4.658558,0.067784,4.82614454
35.660217,11.661234,8.663423,0.102238,0.081276,0.081276,6.781695,0.05413,4.88291792
35.660217,11.661234,6.554842,0.341056,0.081158,0.081276,7.714825,0.06209,3.5477594
35.660217,11.661234,0.109276,0.129932,0.081158,0.081276,0.34376,0.061273,3.3517076
35.660217,11.661234,6.093855,0.160457,0.081158,0.081276,4.969977,0.066805,2.97806842
35.660217,11.661234,4.459263,0.582266,0.081158,0.081276,4.516008,0.075314,2.84625936
30.404821,11.661234,2.956232,0.081158,0.081158,0.042772,0.105664,0.040997,2.59048408
30.404821,11.661234,0.277812,0.040677,0.081158,0.042772,0.051827,0.060592,2.26121398
30.404821,11.661234,4.365929,0.068888,0.081158,0.042772,4.486387,0.081659,2.5096851
30.404821,11.661234,2.919188,0.052046,0.081158,0.042772,0.07684,0.059206,2.70168968
30.404821,8.908114,0.316557,0.102238,0.081158,0.042772,0.456845,0.038173,1.64442748
30.404821,8.908114,0.131401,0.068361,0.081158,0.042772,4.383869,0.042965,2.03673496
30.404821,8.908114,5.146802,0.067747,0.081158,0.042772,3.424193,0.042559,1.41905374
30.404821,8.908114,0.156672,0.07863,0.081158,0.042772,3.664954,0.038173,1.83997886
