UGT,UGA,UGE,UARP,AGT,AGA,AGE,AARP,RANDOM
11544.4552063,5100.56250312,6720.65409277,5400.27328124,422.10567339,367.075087339,1506.1318366,765.24994418,9502.42105031
11544.4552063,5100.56250312,7339.53135848,6487.9943952,422.10567339,367.075087339,1368.28843785,1256.56188239,9120.56264607
11544.4552063,5100.56250312,5153.63583139,6597.08219357,422.10567339,367.075087339,1175.41083258,950.477026891,9402.64010931
11544.4552063,5100.56250312,6473.9773915,8969.56579937,422.10567339,367.075087339,1274.59243883,1352.72278444,9181.6114304
5333.15362459,2099.3374713,3648.71469133,3773.49064451,223.077186861,191.97299336,478.367244151,536.844774961,4064.11470166
5333.15362459,2099.15161912,3540.02117937,3768.02104158,223.077186861,191.97299336,409.334102003,483.62823322,4200.44560633
5333.15362459,2099.15161912,2437.36822132,2787.82806942,223.077186861,191.97299336,417.00857381,439.010439178,4007.00589055
5333.15362459,2099.15161912,1930.08442499,2817.11785402,223.077186861,191.97299336,527.403667035,448.996551068,4204.78915763
3245.86179088,1216.59179567,1090.72049461,1638.59364964,157.633990096,133.410209592,241.376439802,464.853298628,2372.91089377
3245.86179088,1216.18488947,2001.33682983,1281.1405336,157.633990096,133.410209592,234.973167609,306.532947224,2429.34493225
3245.86179088,1216.18488947,1630.59759661,1770.60285651,157.633990096,133.410209592,244.064137426,246.51717897,2425.22641525
3245.86179088,1216.18488947,1486.84486107,1723.94743036,157.633990096,133.410209592,257.821466704,320.934346499,2383.34582597
2214.86148634,792.663303071,718.363197366,1469.05615709,123.53548234,106.199914078,157.156137841,192.443397759,1570.80249721
2198.28396846,791.757012332,709.110171263,1304.78796568,125.243966095,106.322224944,158.282788211,206.875518956,1583.03188251
2198.28396846,791.757012332,888.415341152,1190.5335835,125.243966095,106.322224944,179.169813072,225.777297976,1561.42669506
2198.28396846,791.757012332,1209.14222019,1011.41820556,125.243966095,106.322224944,175.011980357,210.100831985,1621.33663223
71462.2777956,32927.2993125,29960.7633039,24284.6947968,14284.356383,12467.9118676,8623.64241298,15236.8747165,43823.5724484
71462.2777956,30523.7463209,33489.9591993,26942.0419582,13875.9492174,12361.3369271,10472.890561,10183.299088,39983.1725469
71462.2777956,30523.7463209,29313.2428875,24642.3579474,12323.2337593,10454.4468036,7947.94410659,18402.0363561,37930.3996813
