UGT,UGA,UGE,UARP,AGT,AGA,AGE,AARP,RANDOM
32.4391134,2.0312522,0.0648313,0.4261128,0.0572875,0.0572875,0.0352722,0.0377592,0.130863516
32.4391134,2.0312522,0.1231726,0.0414192,0.0572875,0.0572875,0.1160298,0.0377592,0.106599806
32.4391134,2.0312522,0.0581563,0.0582053,0.0572875,0.0572875,0.0513358,0.0418881,0.350696912
32.4391134,2.0312522,0.1846786,0.0403061,0.0572875,0.0572875,0.0430172,0.0337285,0.11494163
2.0312522,2.0312522,0.055322,0.0886608,0.0508243,0.0317494,0.0456633,0.0317494,0.06668301
2.0312522,2.0312522,0.0469645,0.0458207,0.0508243,0.0317494,0.0888955,0.0310005,0.059217968
2.0312522,2.0312522,0.0310005,0.032364,0.0508243,0.0317494,0.040841,0.0306621,0.061122612
2.0312522,2.0312522,0.0480011,0.0543784,0.0508243,0.0317494,0.0358146,0.0377592,0.05122049
0.4151277,2.0312522,0.0508243,0.0352722,0.047483,0.0317494,0.055322,0.0346707,0.042643126
0.4151277,2.0312522,0.0573781,0.0339063,0.047483,0.0317494,0.0619757,0.0347519,0.044045546
0.4151277,2.0312522,0.0500689,0.059094,0.047483,0.0317494,0.0508243,0.0316458,0.047260884
0.4151277,2.0312522,0.0407468,0.0432627,0.047483,0.0317494,0.0435111,0.0346156,0.041666612
0.4151277,0.2754689,0.032364,0.0388061,0.035624,0.0317494,0.0346707,0.0317188,0.041944744
0.4151277,0.2754689,0.0376225,0.0407966,0.035624,0.0317494,0.0358928,0.0310005,0.03997231
0.4151277,0.2754689,0.0346156,0.0458195,0.035624,0.0317494,0.039517,0.0304146,0.045863928
0.4151277,0.2754689,0.0467163,0.0337285,0.035624,0.0317494,0.0310005,0.0317188,0.039655134
59.481338,0.64758,1.214289,3.859573,0.101295,0.081409,2.809936,0.40414,31.89495058
59.481338,0.64758,0.090121,0.139597,0.101295,0.081409,0.072466,0.073799,0.8332674
59.481338,0.64758,0.314968,0.144742,0.101295,0.081409,2.686613,0.081754,1.04804816
59.481338,0.64758,1.494661,0.119998,0.101295,0.081409,0.148188,0.081409,3.41145232
59.481338,0.64758,0.139491,0.10799,0.070757,0.081409,0.252561,0.070757,0.57490078
59.481338,0.64758,0.073799,0.40414,0.070757,0.081409,0.139491,0.080917,0.38832124
59.481338,0.64758,0.106326,0.080917,0.070757,0.081409,0.072466,0.144742,0.54755176
