UGT,UGA,UGE,UARP,AGT,AGA,AGE,AARP,SUGT,SUGA,SUGE,SUARP,SAGT,SAGA,SAARP,RANDOM,subject,gn,ts
11544.4552063,5100.56250312,9296.57277017,9788.06391187,422.10567339,367.075087339,1022.3832642,7730.36283134,11544.4552063,4985.03810056,7515.20711216,7391.8570706,422.10567339,723.407433125,10326.2397588,9181.6114304,blueflood,4,2.0
5333.15362459,2099.15161912,2925.38364836,4436.11705933,223.077186861,191.97299336,460.371020925,5075.85642836,5333.15362459,2093.99871978,3285.69395875,3193.5025988,223.077186861,338.789423678,4389.96133912,4204.78915763,blueflood,8,2.0
3245.86179088,1216.18488947,2107.84418879,2106.85498602,157.633990096,133.410209592,291.63470155,3268.47907619,3245.86179088,1167.23956068,1916.06523734,1803.86115231,157.633990096,213.131265547,2718.66359004,2383.34582597,blueflood,12,2.0
2198.28396846,791.757012332,1763.26500614,1743.43649136,125.243966095,106.322224944,166.080118015,1418.49756275,2198.28396846,761.206802966,1238.77178193,1157.98373013,125.243966095,160.533215297,1759.87659352,1621.33663223,blueflood,16,2.0
71462.2777956,30523.7463209,48339.4331409,33176.850373,11015.8853269,10454.4468036,9080.54981302,37786.6727908,71462.2777956,30081.1329528,29823.704075,20331.2529638,11015.8853269,9713.52473581,33618.8358009,35971.2567818,commons-pool,4,2.0
26864.5921995,11534.4223126,15458.7618119,16065.8525039,5901.06197813,5486.63026034,3941.31841246,17797.5357719,26864.5921995,10386.6087976,11268.6599032,7511.32504985,5410.38930981,4967.34944631,16737.9266214,16304.0723867,commons-pool,8,2.0
15766.0876879,6428.99510958,11887.9427239,8040.96605296,4147.96380323,3705.07344222,2762.05760122,8240.63206254,15766.0876879,5929.70426539,5998.71584751,4743.1702533,3876.31751644,3465.22569168,7362.67257991,9397.51334271,commons-pool,12,2.0
10675.1837317,4292.25484347,7869.42291268,5754.50188635,3104.06658677,2897.04851265,2467.38415558,6315.38633489,10675.1837317,4053.85166852,3982.57992295,3556.43443836,3023.24510896,2816.60194855,5238.57446752,5894.01147862,commons-pool,16,2.0
165.158441558,115.168831169,125.866233766,147.778571429,103.333116883,68.111038961,69.5623376623,157.764935065,165.158441558,148.746753247,137.472727273,170.100649351,103.333116883,76.4733766234,155.248701299,160.815233766,scribe-java,4,2.0
80.224025974,57.787012987,61.7441558442,87.312987013,56.3058441558,40.3103896104,40.9863636364,99.7837662338,80.224025974,74.7551948052,63.9603896104,94.0,56.3058441558,44.8896103896,81.1831168831,81.6014415584,scribe-java,8,2.0
53.4824675325,41.0577922078,42.1324675325,59.3844155844,41.9448051948,31.7058441558,32.6798701299,47.4941558442,53.4824675325,50.2116883117,42.8577922078,66.4058441558,41.9448051948,34.6025974026,55.2967532468,59.9165454545,scribe-java,12,2.0
41.0974025974,32.8272727273,39.2720779221,45.674025974,33.7168831169,27.3487012987,27.5201298701,53.9058441558,41.0974025974,39.2779220779,34.3902597403,50.6376623377,33.7168831169,29.8636363636,42.4844155844,46.1616623377,scribe-java,16,2.0
3809.00998945,2592.6215298,1547.64122327,1390.76853145,874.565722328,738.538528548,736.553046932,1887.51039412,3809.00998945,1554.28362405,1281.38887151,1231.78875287,709.882313259,702.877490825,1550.02635895,1418.61003634,jsprit,4,2.0
1662.03901301,1153.07941612,716.491799417,677.650162362,503.597437291,425.754121594,411.164808646,706.07861295,1662.03901301,624.302962417,624.053876167,619.534575183,470.633243115,426.189330158,734.125319088,685.651092943,jsprit,8,2.0
1051.05370307,763.909502038,516.350915411,564.557295844,406.181414884,344.814130239,348.029597701,512.020317971,1051.05370307,442.789996922,453.514651848,451.543679104,392.670203309,348.641677085,473.62439,501.974653255,jsprit,12,2.0
791.322692712,588.975292775,450.449751608,430.35383494,360.842286293,311.520669513,331.181994967,389.118848314,791.322692712,369.852219287,381.333670687,378.427737304,353.603438639,313.959297158,412.805747839,417.720137757,jsprit,16,2.0
1180.45727273,478.760909091,365.768181818,211.187272727,120.585454545,95.0536363636,99.6281818182,194.264545455,1180.45727273,473.770909091,531.695454545,201.06,120.585454545,94.66,339.116363636,337.547036364,java-apns,4,2.0
504.778181818,151.021818182,124.95,110.768181818,79.2618181818,69.2236363636,73.7918181818,191.220909091,504.778181818,146.895454545,168.011818182,94.12,79.2618181818,69.9536363636,131.777272727,150.952636364,java-apns,8,2.0
217.63,94.0436363636,94.4409090909,81.7327272727,68.7263636364,63.7481818182,65.2418181818,89.0372727273,217.63,87.49,95.2318181818,69.9745454545,67.1218181818,62.9763636364,87.1563636364,93.8793818182,java-apns,12,2.0
97.7790909091,66.8727272727,97.6772727273,75.2045454545,63.3672727273,59.8990909091,57.85,77.8463636364,97.7790909091,63.0872727273,67.4890909091,62.5545454545,62.4181818182,59.6990909091,82.0363636364,70.6194545455,java-apns,16,2.0
