UGT,UGA,UGE,UARP,AGT,AGA,AGE,AARP,SUGT,SUGA,SUGE,SUARP,SAGT,SAGA,SAARP,RANDOM,subject,gn,ts
2198.28396846,791.757012332,1763.26500614,1743.43649136,125.243966095,106.322224944,166.080118015,1418.49756275,2198.28396846,761.206802966,1238.77178193,1157.98373013,125.243966095,160.533215297,1759.87659352,1621.33663223,blueflood,16,2.0
10675.1837317,4292.25484347,7869.42291268,5754.50188635,3104.06658677,2897.04851265,2467.38415558,6315.38633489,10675.1837317,4053.85166852,3982.57992295,3556.43443836,3023.24510896,2816.60194855,5238.57446752,5894.01147862,commons-pool,16,2.0
41.0974025974,32.8272727273,39.2720779221,45.674025974,33.7168831169,27.3487012987,27.5201298701,53.9058441558,41.0974025974,39.2779220779,34.3902597403,50.6376623377,33.7168831169,29.8636363636,42.4844155844,46.1616623377,scribe-java,16,2.0
791.322692712,588.975292775,450.449751608,430.35383494,360.842286293,311.520669513,331.181994967,389.118848314,791.322692712,369.852219287,381.333670687,378.427737304,353.603438639,313.959297158,412.805747839,417.720137757,jsprit,16,2.0
97.7790909091,66.8727272727,97.6772727273,75.2045454545,63.3672727273,59.8990909091,57.85,77.8463636364,97.7790909091,63.0872727273,67.4890909091,62.5545454545,62.4181818182,59.6990909091,82.0363636364,70.6194545455,java-apns,16,2.0
7372.69592147,4665.43619345,15296.0559128,4827.55261044,2726.87853535,2758.60399216,2951.65137038,5323.66852167,6788.17813567,3898.58151443,3784.91558096,3916.14499002,2699.58992566,2732.31155001,3821.78400885,5465.60492192,stream-lib,16,2.0
252.162711092,253.726897913,255.960675883,252.758261019,250.062886296,249.322958277,249.280161447,252.403384515,251.471486796,253.612696816,253.020138403,251.589955015,249.542400937,249.167289238,252.888361714,252.610967574,LastCalc-0.1,16,2.0
525.576066903,149.175903235,214.766284597,233.021733529,295.313981318,117.771384156,108.224444554,221.889672803,496.256855769,138.587120165,124.239415774,161.122667243,280.993726226,116.927922597,244.088390694,240.604597187,rome-1.5.0,16,2.0
7747.55627423,2804.29650187,4861.31214417,4560.64994355,707.411116953,588.127557575,1225.22276665,4736.56046616,7747.55627423,2803.97975754,3651.179938,4075.95159688,704.099207588,567.238716786,3708.78908563,4533.54483198,RoaringBitmap,16,2.0
287.145045953,231.483935739,241.679221579,234.269547308,237.992870288,223.642474416,218.701501335,244.683772133,286.087906692,228.683893604,225.854581058,242.113429187,244.028929429,218.062147718,246.619548893,243.149292795,raml-java-parser-master,16,2.0
49.4334054867,38.5060240267,51.3530670267,50.8934979333,32.72364578,29.41739886,29.23081684,48.6662051867,46.87675286,36.48919836,36.28350912,43.2638903867,30.91260048,28.6280989267,35.77533976,47.2851155829,jackson-datatype-guava,16,2.0
2223.82506812,1706.56190736,3283.59275204,3668.36463215,2563.0040327,1707.66561308,2784.60899183,4185.71694823,2223.82506812,1706.56190736,2853.49029973,2578.70408719,2563.0040327,1939.15144414,4025.56103542,3824.62519237,assertj-core,16,2.0
33136.8214276,18717.8453278,25865.6841145,21250.050426,16567.8696521,17592.3061318,17596.2471181,23478.580647,33136.8214276,18526.7645706,22326.7665772,18117.764305,16787.4403734,17321.0986866,21593.4088336,21894.2663085,mapdb-mapdb-1.0.9,16,2.0
72.7998325209,28.0478693171,51.8449803023,63.1832677449,29.2102180567,16.4733545897,20.0055195034,50.7673698138,67.4212689919,25.2664720594,26.6463334157,43.449728691,26.1371471026,15.9836685398,43.039523525,54.1903521369,lambdaj-master,16,2.0
160.612030075,143.753383459,170.313533835,156.153007519,139.731203008,120.626315789,122.954887218,153.766917293,159.371052632,136.583082707,125.319172932,170.829323308,138.022932331,125.473684211,162.188345865,168.796533835,metrics-core,16,2.0
70774.4150884,24252.4368327,28453.5176357,28719.0006521,8691.40008219,3755.39135202,12052.1167144,28739.066504,70774.4150884,14656.5258645,25699.9293722,22006.7467789,8691.40008219,5311.45991602,28947.9982309,29893.1258074,camel-core,16,2.0
17.1584230617,17.3579908889,18.1794664815,18.0098425309,17.189811,16.8354804198,16.3782259383,18.4854693704,17.1584230617,17.1818517901,17.0127389012,17.475823284,16.8869821728,16.2814483086,18.1625392963,18.2449887378,gson-fire,16,2.0
6200.6461559,1671.47102646,2146.44196658,2989.69819547,229.514463891,393.33405939,202.488167624,2987.11363368,6200.6461559,445.114763329,1039.08110297,743.085553764,219.48192107,134.587032198,2290.02906129,3669.23114507,commons-dbcp,16,2.0
665.461011706,666.890199696,692.61252548,699.617583304,690.701542667,673.369248578,668.424478137,682.545842559,663.508414824,664.41629849,664.56499952,670.286286706,686.614612186,672.128311363,664.093239333,677.603739179,ews-java-api,16,2.0
11251.2063431,3552.61727056,4989.33138563,4572.18986371,781.768413502,936.528893721,1241.75657529,5178.41344138,10773.5760901,3135.92614532,3698.61085797,3195.03458892,739.016140553,1117.89463243,4610.12627805,4984.65400973,commons-math,16,2.0
10568.7910116,6944.04248437,10138.4292833,9017.2839073,5703.98297584,5710.9922311,5696.43255138,7184.96059224,9316.79446798,7292.88643835,6616.31598724,6984.95478057,5397.52026677,5463.85875687,7347.28650855,8243.5435251,OpenTripPlanner-otp-0.20.0,16,2.0
49438.1821733,26692.2665994,25578.8381209,30268.9941403,7062.33073322,4261.08382019,6091.05589099,31825.7783976,46162.7262448,14575.2852564,15634.6232681,14759.0064917,6679.65186513,4365.76051051,30656.4497733,27479.8669098,hbase-1.2.2,16,2.0
