UGT,UGA,UGE,UARP,AGT,AGA,AGE,AARP,SUGT,SUGA,SUGE,SUARP,SAGT,SAGA,SAARP,RANDOM,subject,gn,ts
0.4151277,2.0312522,0.0827933,0.032364,0.047483,0.0317494,0.0477669,0.0419026,0.4151277,2.0312522,0.0486439,0.0426833,0.047483,0.0316458,0.0532007,0.041666612,blueflood,12,2.0
2.908001,0.64758,0.227614,0.101295,0.070757,0.081409,0.073799,0.081754,2.908001,0.64758,0.314968,0.089709,0.070757,0.070757,0.083732,0.1662712,commons-pool,12,2.0
1.8,2.2,2.1,1.4,1.8,1.6,1.4,2.0,1.8,1.8,1.6,1.8,1.8,1.4,2.0,1.872,scribe-java,12,2.0
18.8351602,0.6179781,0.081069,0.0410364,0.0518351,0.0422227,0.0518351,0.0489622,18.8351602,0.1415761,0.0761172,0.0426676,0.0518351,0.0234891,0.0433096,0.049472646,jsprit,12,2.0
3.7,1.7,1.2,1.4,1.2,1.0,1.6,1.2,3.7,1.7,1.5,1.0,1.2,1.0,1.2,1.288,java-apns,12,2.0
373.9754186,1.4609154,0.0612873,0.0714714,0.0612873,0.0641292,0.0585923,0.0859647,252.7037902,1.4609154,0.8393646,0.0585923,0.0612873,0.0641292,0.0640185,0.103207392,stream-lib,12,2.0
0.810469,0.875883,0.11467,0.672892,0.219358,0.11467,0.219358,0.11467,0.810469,0.219358,0.219358,0.11467,0.219358,0.11467,0.11467,0.22722382,LastCalc-0.1,12,2.0
3.753918,0.542969,0.262967,2.2339,1.280201,0.182023,1.028118,1.667207,3.753918,0.542969,1.721967,1.238581,1.280201,0.182023,1.493543,1.2828389,rome-1.5.0,12,2.0
94.4520103,80.9030157,0.0571509,0.0495154,0.0469876,0.0469876,0.0650857,0.0915329,94.4520103,80.9030157,0.0577578,0.0518593,0.0469876,0.0469876,0.0527899,0.060895108,RoaringBitmap,12,2.0
2.724604,0.940172,1.250878,0.857133,0.617783,0.141097,0.714877,0.765099,2.724604,0.940172,1.353664,0.464366,0.617783,0.141097,0.398281,0.9722683,raml-java-parser-master,12,2.0
3.374348,0.923609,0.409072,0.829648,0.181006,0.181006,0.405129,0.829648,3.374348,0.923609,0.663517,0.405088,0.181006,0.181006,0.405088,0.5756144,jackson-datatype-guava,12,2.0
25.5,22.9,23.1,24.8,22.9,22.9,23.8,22.9,25.5,22.9,24.3,22.9,22.9,22.9,23.4,23.744,assertj-core,12,2.0
4.28567790985,53.8394290209,1.30645000935,0.853104948997,0.949913024902,0.253507018089,0.516927957535,0.463364005089,4.28567790985,3.1729940176,0.27455496788,1.45272397995,0.949913024902,0.253507018089,4.11413109302,1.13803071976,mapdb-mapdb-1.0.9,12,2.0
0.345107,0.398602,0.164388,0.121415,0.133722,0.133722,0.15543,0.157382,0.345107,0.398602,0.22441,0.107418,0.133722,0.107418,0.270707,0.1763023,lambdaj-master,12,2.0
3.2,2.3,2.2,1.3,2.0,2.0,1.3,1.6,3.2,2.3,2.2,2.2,2.0,1.3,2.2,2.138,metrics-core,12,2.0
30.404821,11.661234,0.079537,5.834166,0.081158,0.042772,4.453607,0.053188,30.404821,11.661234,5.638341,0.071524,0.081158,0.042772,0.808111,2.70168968,camel-core,12,2.0
0.964785,0.580306,0.266726,0.185166,0.185166,0.185166,0.185166,0.200921,0.964785,0.196775,0.266726,0.266726,0.185166,0.185166,0.200921,0.21860514,gson-fire,12,2.0
2.2313271,0.5400401,0.9166269,0.1509983,0.1686118,0.0829075,0.0843113,0.2692838,2.2313271,0.5400401,0.2245181,0.1309553,0.1686118,0.0829075,0.1791346,0.437081386,commons-dbcp,12,2.0
0.372391,0.372391,0.134399,0.116863,0.073043,0.073043,0.133213,0.110681,0.372391,0.372391,0.297166,0.127575,0.073043,0.073043,0.092904,0.11824162,ews-java-api,12,2.0
3.1854616,1.5015329,0.0293702,0.0237414,0.0219125,0.0260066,0.0253574,0.0275402,3.1854616,1.5015329,0.0478416,0.0156434,0.0219125,0.0260066,0.0384514,0.030719658,commons-math,12,2.0
18.05973,11.601356,0.324088,0.074829,0.165114,0.06471,0.153574,0.241857,18.05973,0.581848,0.115992,0.102146,0.165114,0.06471,0.086299,0.18455134,OpenTripPlanner-otp-0.20.0,12,2.0
76.177355,76.177355,0.069792,0.079509,0.079509,0.098024,0.247641,0.087463,76.177355,76.177355,0.248705,0.079509,0.079509,0.079509,0.168619,2.03647996,hbase-1.2.2,12,2.0
488.7,492.2,485.0,485.0,488.7,488.7,488.7,488.8,488.7,492.2,492.5,483.6,488.7,488.7,488.1,486.202,jasmine-maven-plugin,12,2.0
0.2162357,0.0724212,0.1049066,0.1976981,0.0641172,0.0641172,0.1401212,0.0855843,0.2162357,0.0724212,0.2162357,0.1146268,0.0641172,0.0641172,0.1540026,0.115637622,commons-io,12,2.0
5.7,6.2,5.5,5.9,5.5,5.7,5.7,5.7,5.7,6.2,5.7,5.6,5.5,5.7,6.1,5.702,jopt-simple,12,2.0
0.786117,0.10851,0.10851,0.610586,0.10851,0.10851,0.10851,1.626719,0.10851,0.10851,0.10851,0.133772,0.10851,0.10851,0.10851,0.34201028,redline-smalltalk-master,12,2.0
0.336476,0.287334,0.231326,0.656312,0.231326,0.231326,0.231326,0.231326,0.336476,0.231326,0.231326,0.231326,0.231326,0.231326,0.287334,0.25621938,gdx-artemis-master,12,2.0
279.1909221,6.9422548,0.0850745,0.3027423,0.1130773,0.1130773,0.1373942,0.1143363,279.1909221,6.9422548,0.3424021,0.1396774,0.1130773,0.0855454,0.2750097,0.318743698,languagetool,12,2.0
297.0800616,0.2878134,0.1366702,0.0730705,0.0730705,0.0730705,0.1148468,0.0981272,297.0800616,0.2878134,0.2878134,0.1134763,0.0730705,0.0708232,0.1213881,0.152733042,hivemall,12,2.0
0.996705,0.274078,0.131617,0.0889,0.100765,0.111456,0.100765,0.135948,0.996705,0.167276,0.161855,0.105384,0.100093,0.098882,0.101645,0.1367035,asterisk-java,12,2.0
651.5985828,17.1375821,11.8285302,0.8950718,0.8950718,0.8950718,5.8013112,1.0043815,651.5985828,17.1375821,17.1375821,12.5969344,0.8950718,0.8950718,7.6654736,15.31365641,chukwa,12,2.0
81.9,11.1,11.3,11.4,12.1,11.0,11.4,11.6,81.9,11.1,11.4,11.2,12.1,11.0,11.5,11.486,la4j,12,2.0
39.1,15.5,14.6,14.4,21.1,15.5,15.1,14.8,39.1,15.5,14.4,14.9,21.1,13.9,14.8,14.736,vraptor_archive,12,2.0
