UGT,UGA,UGE,UARP,AGT,AGA,AGE,AARP,SUGT,SUGA,SUGE,SUARP,SAGT,SAGA,SAARP,RANDOM,subject,gn,ts
32.4391134,2.0312522,0.2187386,0.0426833,0.0572875,0.0572875,5.8114983,0.034906,32.4391134,2.0312522,0.0486439,0.0426833,0.0572875,0.0316458,0.1632634,0.11494163,blueflood,4,2.0
2.0312522,2.0312522,0.0337285,0.0377592,0.0508243,0.0317494,0.0306621,0.2187386,2.0312522,2.0312522,0.0486439,0.0426833,0.0508243,0.0316458,0.4607751,0.05122049,blueflood,8,2.0
0.4151277,2.0312522,0.0827933,0.032364,0.047483,0.0317494,0.0477669,0.0419026,0.4151277,2.0312522,0.0486439,0.0426833,0.047483,0.0316458,0.0532007,0.041666612,blueflood,12,2.0
0.4151277,0.2754689,0.0346707,0.0428529,0.035624,0.0317494,0.0528877,0.0451792,0.4151277,0.2754689,0.0486439,0.041,0.035624,0.0258116,0.0415274,0.039655134,blueflood,16,2.0
59.481338,0.64758,0.081409,2.047259,0.101295,0.081409,0.431467,2.517037,59.481338,0.64758,3.790837,0.089709,0.101295,0.070757,0.17391,3.41145232,commons-pool,4,2.0
59.481338,0.64758,1.275552,1.657593,0.070757,0.081409,2.710512,0.072466,59.481338,0.64758,0.314968,0.089709,0.070757,0.070757,0.072629,0.46821254,commons-pool,8,2.0
2.908001,0.64758,0.227614,0.101295,0.070757,0.081409,0.073799,0.081754,2.908001,0.64758,0.314968,0.089709,0.070757,0.070757,0.083732,0.1662712,commons-pool,12,2.0
2.186871,0.64758,0.072629,0.091449,0.070757,0.081409,0.305239,0.070757,2.186871,0.64758,0.314968,0.089709,0.070757,0.070757,0.105567,0.09280316,commons-pool,16,2.0
2.6,2.6,6.5,2.2,1.8,1.6,1.9,2.0,2.6,2.2,1.8,2.2,1.8,1.6,3.5,2.284,scribe-java,4,2.0
2.5,2.5,2.1,2.4,1.8,1.6,1.4,4.0,2.5,1.8,1.8,1.8,1.8,1.6,1.4,1.924,scribe-java,8,2.0
1.8,2.2,2.1,1.4,1.8,1.6,1.4,2.0,1.8,1.8,1.6,1.8,1.8,1.4,2.0,1.872,scribe-java,12,2.0
1.8,1.8,1.7,1.8,1.8,1.6,1.4,1.7,1.8,1.8,1.6,1.8,1.8,1.4,1.8,1.762,scribe-java,16,2.0
34.8493513,0.8810684,0.1618876,0.3086312,0.0866904,0.0866904,0.0565151,0.0477323,34.8493513,0.8810684,0.0761172,0.0495826,0.0756341,0.0352381,0.0529466,0.251224344,jsprit,4,2.0
34.8493513,0.6574672,0.5991543,0.0467924,0.0640093,0.0422227,0.0865343,0.0747631,34.8493513,0.6574672,0.0761172,0.0495826,0.0640093,0.0234891,0.0655434,0.06494049,jsprit,8,2.0
18.8351602,0.6179781,0.081069,0.0410364,0.0518351,0.0422227,0.0518351,0.0489622,18.8351602,0.1415761,0.0761172,0.0426676,0.0518351,0.0234891,0.0433096,0.049472646,jsprit,12,2.0
18.1579076,0.1415761,0.0574375,0.050413,0.0518351,0.0320928,0.0438035,0.0494183,18.1579076,0.1415761,0.0618102,0.0426676,0.0467924,0.0234891,0.0565151,0.0494992,jsprit,16,2.0
146.2,2.5,1.3,1.3,1.5,1.5,1.5,1.8,146.2,2.5,2.5,1.1,1.5,1.2,1.7,1.602,java-apns,4,2.0
65.1,2.5,1.7,1.3,1.5,1.4,1.0,1.3,65.1,2.5,2.5,1.0,1.5,1.0,1.0,1.324,java-apns,8,2.0
3.7,1.7,1.2,1.4,1.2,1.0,1.6,1.2,3.7,1.7,1.5,1.0,1.2,1.0,1.2,1.288,java-apns,12,2.0
2.6,1.5,1.4,1.4,1.2,1.0,1.0,1.2,2.6,1.5,1.5,1.0,1.2,1.0,1.1,1.224,java-apns,16,2.0
3838.3372521,1.4609154,0.1004539,0.1382401,0.0640185,0.0641292,0.0876716,0.0937451,3838.3372521,1.4609154,6.187118,0.2037888,0.0640185,0.0641292,0.0641292,1.559920316,stream-lib,4,2.0
755.4864375,1.4609154,0.7140209,0.0937451,0.0640185,0.0641292,0.0738731,0.0585923,755.4864375,1.4609154,0.8393646,0.2037888,0.0640185,0.0641292,0.0569174,0.542473256,stream-lib,8,2.0
373.9754186,1.4609154,0.0612873,0.0714714,0.0612873,0.0641292,0.0585923,0.0859647,252.7037902,1.4609154,0.8393646,0.0585923,0.0612873,0.0641292,0.0640185,0.103207392,stream-lib,12,2.0
22.0714329,1.4609154,0.0714714,0.0738731,0.0612873,0.0641292,0.1230865,0.1100214,22.0714329,1.4609154,0.1780263,0.0585923,0.0569174,0.0569174,0.0569174,0.083434628,stream-lib,16,2.0
0.875883,0.875883,0.875883,0.72185,0.810469,0.379402,0.219358,0.11467,0.875883,0.875883,0.875883,0.11467,0.714872,0.219358,0.11467,0.65098098,LastCalc-0.1,4,2.0
0.875883,0.875883,0.875883,0.219358,0.672892,0.11467,0.269713,0.72185,0.875883,0.875883,0.875883,0.11467,0.219358,0.11467,0.40896,0.30984622,LastCalc-0.1,8,2.0
0.810469,0.875883,0.11467,0.672892,0.219358,0.11467,0.219358,0.11467,0.810469,0.219358,0.219358,0.11467,0.219358,0.11467,0.11467,0.22722382,LastCalc-0.1,12,2.0
0.76652,0.672892,0.11467,0.219358,0.219358,0.11467,0.219358,0.11467,0.714872,0.219358,0.219358,0.11467,0.219358,0.11467,0.11467,0.17005576,LastCalc-0.1,16,2.0
3.753918,2.903596,1.817685,2.45864,1.280201,1.280201,1.41144,1.493543,3.753918,2.903596,2.839805,2.61095,1.280201,0.182023,1.148196,1.76493154,rome-1.5.0,4,2.0
3.753918,2.903596,1.547087,1.250123,1.280201,0.182023,1.089795,1.50603,3.753918,2.903596,1.721967,1.238581,1.280201,0.182023,0.542969,1.42869406,rome-1.5.0,8,2.0
3.753918,0.542969,0.262967,2.2339,1.280201,0.182023,1.028118,1.667207,3.753918,0.542969,1.721967,1.238581,1.280201,0.182023,1.493543,1.2828389,rome-1.5.0,12,2.0
2.44242,0.542969,1.070384,1.148196,1.250123,0.182023,1.073239,1.083639,2.44242,0.542969,1.701026,1.238581,1.250123,0.182023,1.040443,1.18445944,rome-1.5.0,16,2.0
449.2997603,243.0713253,0.1115097,0.0915329,0.0469876,0.0469876,0.1058506,0.1059377,449.2997603,243.0713253,0.090854,0.0518593,0.0469876,0.0469876,0.0587849,0.14840797,RoaringBitmap,4,2.0
94.4520103,80.9030157,0.0488282,0.0571846,0.0469876,0.0469876,0.0545388,0.0526879,94.4520103,80.9030157,0.0684516,0.0518593,0.0469876,0.0469876,0.051291,0.068984462,RoaringBitmap,8,2.0
