UGT,UGA,UGE,UARP,AGT,AGA,AGE,AARP,RANDOM,subject,gn,ts
12477.3749417,11853.0419314,11536.1653142,13720.3797871,2190.94875731,2133.55666252,2122.97936778,2328.26223933,12551.4009879,blueflood,4,1.5
8104.55670781,7491.09237018,6501.50435948,6349.70466307,5807.7005282,5403.44647471,5462.02206304,5773.2290169,6752.57305521,jsprit,4,1.5
9093.9266485,8586.05149864,12661.1807629,13612.2195095,10194.7230518,6988.1080654,11994.9316076,15091.3093188,17032.1013766,assertj-core,4,1.5
25875.974652,26906.3148088,43614.2436369,39022.4273127,34774.6048491,59215.4575117,33952.8647214,98838.8142515,82092.8781888,mapdb-mapdb-1.0.9,4,1.5
267022.311085,85485.2031091,137882.174288,130733.739019,43694.6829613,26432.0289982,79785.6771524,37846.8217583,161182.15613,camel-core,4,1.5
49942.5189145,49946.4926634,58201.5497038,44344.8038192,12042.5222731,11370.8521306,13998.3371762,12654.9075264,38628.0139916,commons-math,4,1.5
110255.632127,52084.1544606,48370.1082423,78911.8996452,22666.8449459,28997.1158514,22411.1031449,34186.422167,65628.920353,OpenTripPlanner-otp-0.20.0,4,1.5
206773.377076,184564.77208,135205.32783,141872.265135,52871.4686424,45356.0430731,50817.4066693,69496.9674706,169519.22955,hbase-1.2.2,4,1.5
15070.5387677,11933.336276,14428.0894213,19745.0778828,5745.75374005,5662.69505375,5802.52769125,7419.16243301,22449.2678707,commons-io,4,1.5
682.224889543,675.159351988,738.231664212,921.89646539,819.932547865,525.352135493,510.988070692,890.661119293,928.88483947,jopt-simple,4,1.5
685325.372644,516210.05605,290065.790381,332772.525897,117774.172334,82462.2324651,128033.27947,122696.910699,375517.629404,languagetool,4,1.5
237999.52977,163829.676838,156975.274489,153319.889126,92273.3430728,90194.8539878,90736.172461,94186.5848375,175825.83575,hivemall,4,1.5
587075.396934,350188.912681,291041.717858,302729.456268,123245.864804,110530.001589,92552.46974,122400.147449,343345.483669,chukwa,4,1.5
15021.6802382,12792.2997293,13027.0936654,14684.114131,11609.2353546,10247.6922036,10883.2844071,12819.5448295,14332.1207991,vraptor_archive,4,1.5
1206.63231143,814.01128102,1362.80322658,816.766850907,483.656051005,469.216248161,481.85377489,512.035334968,942.912826719,jackson-core,4,1.5
204.740913043,129.532217391,112.999521739,146.501826087,102.716956522,100.109304348,111.100956522,104.740391304,180.238254783,JActor,4,1.5
1004.6384556,990.651368082,1018.79776705,1799.93918533,647.818208494,610.736393822,714.533449163,1122.77949421,1513.33912824,joss,4,1.5
